"Kod";"Nazwa";"Świadczenie wychowawcze";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"wydatki na świadczenia wychowawcze";"2017";520262738;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"wydatki na świadczenia wychowawcze";"2018";508574475;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"wydatki na świadczenia wychowawcze";"2019";695132264;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"wydatki na świadczenia wychowawcze";"2020";904616151;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"wydatki na świadczenia wychowawcze";"2021";913470826;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"wydatki na świadczenia wychowawcze";"2017";334946991;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"wydatki na świadczenia wychowawcze";"2018";329254478;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"wydatki na świadczenia wychowawcze";"2019";540004203;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"wydatki na świadczenia wychowawcze";"2020";777094173;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"wydatki na świadczenia wychowawcze";"2021";785976802;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"wydatki na świadczenia wychowawcze";"2017";469063743;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"wydatki na świadczenia wychowawcze";"2018";459205234;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"wydatki na świadczenia wychowawcze";"2019";557552845;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"wydatki na świadczenia wychowawcze";"2020";668139222;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"wydatki na świadczenia wychowawcze";"2021";662202252;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"wydatki na świadczenia wychowawcze";"2017";317100323;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"wydatki na świadczenia wychowawcze";"2018";306281307;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"wydatki na świadczenia wychowawcze";"2019";432631529;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"wydatki na świadczenia wychowawcze";"2020";572037579;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"wydatki na świadczenia wychowawcze";"2021";567400585;"zł";"";
011212400000;"PODREGION TARNOWSKI";"wydatki na świadczenia wychowawcze";"2017";309403143;"zł";"";
011212400000;"PODREGION TARNOWSKI";"wydatki na świadczenia wychowawcze";"2018";297485044;"zł";"";
011212400000;"PODREGION TARNOWSKI";"wydatki na świadczenia wychowawcze";"2019";389841982;"zł";"";
011212400000;"PODREGION TARNOWSKI";"wydatki na świadczenia wychowawcze";"2020";482856024;"zł";"";
011212400000;"PODREGION TARNOWSKI";"wydatki na świadczenia wychowawcze";"2021";474766351;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"wydatki na świadczenia wychowawcze";"2017";275926364;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"wydatki na świadczenia wychowawcze";"2018";270386885;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"wydatki na świadczenia wychowawcze";"2019";325953902;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"wydatki na świadczenia wychowawcze";"2020";390640913;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"wydatki na świadczenia wychowawcze";"2021";386054271;"zł";"";
012414400000;"PODREGION BIELSKI";"wydatki na świadczenia wychowawcze";"2017";399273302;"zł";"";
012414400000;"PODREGION BIELSKI";"wydatki na świadczenia wychowawcze";"2018";383692024;"zł";"";
012414400000;"PODREGION BIELSKI";"wydatki na świadczenia wychowawcze";"2019";544023199;"zł";"";
012414400000;"PODREGION BIELSKI";"wydatki na świadczenia wychowawcze";"2020";727751486;"zł";"";
012414400000;"PODREGION BIELSKI";"wydatki na świadczenia wychowawcze";"2021";728405379;"zł";"";
012414500000;"PODREGION BYTOMSKI";"wydatki na świadczenia wychowawcze";"2017";231743383;"zł";"";
012414500000;"PODREGION BYTOMSKI";"wydatki na świadczenia wychowawcze";"2018";223240946;"zł";"";
012414500000;"PODREGION BYTOMSKI";"wydatki na świadczenia wychowawcze";"2019";313747587;"zł";"";
012414500000;"PODREGION BYTOMSKI";"wydatki na świadczenia wychowawcze";"2020";413996885;"zł";"";
012414500000;"PODREGION BYTOMSKI";"wydatki na świadczenia wychowawcze";"2021";415785493;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"wydatki na świadczenia wychowawcze";"2017";283441081;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"wydatki na świadczenia wychowawcze";"2018";268969716;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"wydatki na świadczenia wychowawcze";"2019";362400576;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"wydatki na świadczenia wychowawcze";"2020";469194581;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"wydatki na świadczenia wychowawcze";"2021";465770570;"zł";"";
012414700000;"PODREGION GLIWICKI";"wydatki na świadczenia wychowawcze";"2017";220686170;"zł";"";
012414700000;"PODREGION GLIWICKI";"wydatki na świadczenia wychowawcze";"2018";213847367;"zł";"";
012414700000;"PODREGION GLIWICKI";"wydatki na świadczenia wychowawcze";"2019";319490487;"zł";"";
012414700000;"PODREGION GLIWICKI";"wydatki na świadczenia wychowawcze";"2020";436130357;"zł";"";
012414700000;"PODREGION GLIWICKI";"wydatki na świadczenia wychowawcze";"2021";434501036;"zł";"";
012414800000;"PODREGION KATOWICKI";"wydatki na świadczenia wychowawcze";"2017";348507841;"zł";"";
012414800000;"PODREGION KATOWICKI";"wydatki na świadczenia wychowawcze";"2018";333684725;"zł";"";
012414800000;"PODREGION KATOWICKI";"wydatki na świadczenia wychowawcze";"2019";502175736;"zł";"";
012414800000;"PODREGION KATOWICKI";"wydatki na świadczenia wychowawcze";"2020";678675067;"zł";"";
012414800000;"PODREGION KATOWICKI";"wydatki na świadczenia wychowawcze";"2021";674825912;"zł";"";
012414900000;"PODREGION RYBNICKI";"wydatki na świadczenia wychowawcze";"2017";331662705;"zł";"";
012414900000;"PODREGION RYBNICKI";"wydatki na świadczenia wychowawcze";"2018";320524113;"zł";"";
012414900000;"PODREGION RYBNICKI";"wydatki na świadczenia wychowawcze";"2019";472127772;"zł";"";
012414900000;"PODREGION RYBNICKI";"wydatki na świadczenia wychowawcze";"2020";648018277;"zł";"";
012414900000;"PODREGION RYBNICKI";"wydatki na świadczenia wychowawcze";"2021";645169121;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"wydatki na świadczenia wychowawcze";"2017";303430158;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"wydatki na świadczenia wychowawcze";"2018";289003123;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"wydatki na świadczenia wychowawcze";"2019";439578302;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"wydatki na świadczenia wychowawcze";"2020";604608228;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"wydatki na świadczenia wychowawcze";"2021";600813148;"zł";"";
012415100000;"PODREGION TYSKI";"wydatki na świadczenia wychowawcze";"2017";219737374;"zł";"";
012415100000;"PODREGION TYSKI";"wydatki na świadczenia wychowawcze";"2018";215044102;"zł";"";
012415100000;"PODREGION TYSKI";"wydatki na świadczenia wychowawcze";"2019";331632102;"zł";"";
012415100000;"PODREGION TYSKI";"wydatki na świadczenia wychowawcze";"2020";454098046;"zł";"";
012415100000;"PODREGION TYSKI";"wydatki na świadczenia wychowawcze";"2021";455585045;"zł";"";
020811300000;"PODREGION GORZOWSKI";"wydatki na świadczenia wychowawcze";"2017";220371592;"zł";"";
020811300000;"PODREGION GORZOWSKI";"wydatki na świadczenia wychowawcze";"2018";208895306;"zł";"";
020811300000;"PODREGION GORZOWSKI";"wydatki na świadczenia wychowawcze";"2019";290648931;"zł";"";
020811300000;"PODREGION GORZOWSKI";"wydatki na świadczenia wychowawcze";"2020";390159985;"zł";"";
020811300000;"PODREGION GORZOWSKI";"wydatki na świadczenia wychowawcze";"2021";384950205;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"wydatki na świadczenia wychowawcze";"2017";352429712;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"wydatki na świadczenia wychowawcze";"2018";335346120;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"wydatki na świadczenia wychowawcze";"2019";463060094;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"wydatki na świadczenia wychowawcze";"2020";619363170;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"wydatki na świadczenia wychowawcze";"2021";614589620;"zł";"";
023015700000;"PODREGION KALISKI";"wydatki na świadczenia wychowawcze";"2017";465487262;"zł";"";
023015700000;"PODREGION KALISKI";"wydatki na świadczenia wychowawcze";"2018";440231982;"zł";"";
023015700000;"PODREGION KALISKI";"wydatki na świadczenia wychowawcze";"2019";572959918;"zł";"";
023015700000;"PODREGION KALISKI";"wydatki na świadczenia wychowawcze";"2020";731669724;"zł";"";
023015700000;"PODREGION KALISKI";"wydatki na świadczenia wychowawcze";"2021";729615188;"zł";"";
023015800000;"PODREGION KONIŃSKI";"wydatki na świadczenia wychowawcze";"2017";446448464;"zł";"";
023015800000;"PODREGION KONIŃSKI";"wydatki na świadczenia wychowawcze";"2018";420212506;"zł";"";
023015800000;"PODREGION KONIŃSKI";"wydatki na świadczenia wychowawcze";"2019";550906141;"zł";"";
023015800000;"PODREGION KONIŃSKI";"wydatki na świadczenia wychowawcze";"2020";707039733;"zł";"";
023015800000;"PODREGION KONIŃSKI";"wydatki na świadczenia wychowawcze";"2021";706093656;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"wydatki na świadczenia wychowawcze";"2017";404918582;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"wydatki na świadczenia wychowawcze";"2018";386492058;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"wydatki na świadczenia wychowawcze";"2019";512938914;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"wydatki na świadczenia wychowawcze";"2020";660873789;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"wydatki na świadczenia wychowawcze";"2021";662701109;"zł";"";
023016000000;"PODREGION PILSKI";"wydatki na świadczenia wychowawcze";"2017";279957500;"zł";"";
023016000000;"PODREGION PILSKI";"wydatki na świadczenia wychowawcze";"2018";262742274;"zł";"";
023016000000;"PODREGION PILSKI";"wydatki na świadczenia wychowawcze";"2019";346099328;"zł";"";
023016000000;"PODREGION PILSKI";"wydatki na świadczenia wychowawcze";"2020";448263757;"zł";"";
023016000000;"PODREGION PILSKI";"wydatki na świadczenia wychowawcze";"2021";439076352;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"wydatki na świadczenia wychowawcze";"2017";455093079;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"wydatki na świadczenia wychowawcze";"2018";443435962;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"wydatki na świadczenia wychowawcze";"2019";662838556;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"wydatki na świadczenia wychowawcze";"2020";898693686;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"wydatki na świadczenia wychowawcze";"2021";917893526;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"wydatki na świadczenia wychowawcze";"2017";248473916;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"wydatki na świadczenia wychowawcze";"2018";239821708;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"wydatki na świadczenia wychowawcze";"2019";378538700;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"wydatki na świadczenia wychowawcze";"2020";529814638;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"wydatki na świadczenia wychowawcze";"2021";530437873;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"wydatki na świadczenia wychowawcze";"2017";193191036;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"wydatki na świadczenia wychowawcze";"2018";183832716;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"wydatki na świadczenia wychowawcze";"2019";255618896;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"wydatki na świadczenia wychowawcze";"2020";339726977;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"wydatki na świadczenia wychowawcze";"2021";337970183;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"wydatki na świadczenia wychowawcze";"2017";260408645;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"wydatki na świadczenia wychowawcze";"2018";240896393;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"wydatki na świadczenia wychowawcze";"2019";306309678;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"wydatki na świadczenia wychowawcze";"2020";391142444;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"wydatki na świadczenia wychowawcze";"2021";383848409;"zł";"";
023216500000;"PODREGION MIASTO SZCZECIN";"wydatki na świadczenia wychowawcze";"2017";171571514;"zł";"";
023216500000;"PODREGION MIASTO SZCZECIN";"wydatki na świadczenia wychowawcze";"2018";162960636;"zł";"";
023216500000;"PODREGION MIASTO SZCZECIN";"wydatki na świadczenia wychowawcze";"2019";259038913;"zł";"";
023216500000;"PODREGION MIASTO SZCZECIN";"wydatki na świadczenia wychowawcze";"2020";371335359;"zł";"";
023216500000;"PODREGION MIASTO SZCZECIN";"wydatki na świadczenia wychowawcze";"2021";370301980;"zł";"";
023216600000;"PODREGION SZCZECIŃSKI";"wydatki na świadczenia wychowawcze";"2017";281742746;"zł";"";
023216600000;"PODREGION SZCZECIŃSKI";"wydatki na świadczenia wychowawcze";"2018";263923519;"zł";"";
023216600000;"PODREGION SZCZECIŃSKI";"wydatki na świadczenia wychowawcze";"2019";369222164;"zł";"";
023216600000;"PODREGION SZCZECIŃSKI";"wydatki na świadczenia wychowawcze";"2020";503353877;"zł";"";
023216600000;"PODREGION SZCZECIŃSKI";"wydatki na świadczenia wychowawcze";"2021";498595528;"zł";"";
030210100000;"PODREGION JELENIOGÓRSKI";"wydatki na świadczenia wychowawcze";"2017";280759371;"zł";"";
030210100000;"PODREGION JELENIOGÓRSKI";"wydatki na świadczenia wychowawcze";"2018";261015654;"zł";"";
030210100000;"PODREGION JELENIOGÓRSKI";"wydatki na świadczenia wychowawcze";"2019";357968276;"zł";"";
030210100000;"PODREGION JELENIOGÓRSKI";"wydatki na świadczenia wychowawcze";"2020";479431732;"zł";"";
030210100000;"PODREGION JELENIOGÓRSKI";"wydatki na świadczenia wychowawcze";"2021";474616906;"zł";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"wydatki na świadczenia wychowawcze";"2017";240298984;"zł";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"wydatki na świadczenia wychowawcze";"2018";228973614;"zł";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"wydatki na świadczenia wychowawcze";"2019";334711263;"zł";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"wydatki na świadczenia wychowawcze";"2020";447392066;"zł";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"wydatki na świadczenia wychowawcze";"2021";447492643;"zł";"";
030210300000;"PODREGION WAŁBRZYSKI";"wydatki na świadczenia wychowawcze";"2017";320967854;"zł";"";
030210300000;"PODREGION WAŁBRZYSKI";"wydatki na świadczenia wychowawcze";"2018";299349327;"zł";"";
030210300000;"PODREGION WAŁBRZYSKI";"wydatki na świadczenia wychowawcze";"2019";411610816;"zł";"";
030210300000;"PODREGION WAŁBRZYSKI";"wydatki na świadczenia wychowawcze";"2020";542056842;"zł";"";
030210300000;"PODREGION WAŁBRZYSKI";"wydatki na świadczenia wychowawcze";"2021";537104247;"zł";"";
030210400000;"PODREGION WROCŁAWSKI";"wydatki na świadczenia wychowawcze";"2017";356600206;"zł";"";
030210400000;"PODREGION WROCŁAWSKI";"wydatki na świadczenia wychowawcze";"2018";347722105;"zł";"";
030210400000;"PODREGION WROCŁAWSKI";"wydatki na świadczenia wychowawcze";"2019";517951422;"zł";"";
030210400000;"PODREGION WROCŁAWSKI";"wydatki na świadczenia wychowawcze";"2020";706136254;"zł";"";
030210400000;"PODREGION WROCŁAWSKI";"wydatki na świadczenia wychowawcze";"2021";726038015;"zł";"";
030210500000;"PODREGION MIASTO WROCŁAW";"wydatki na świadczenia wychowawcze";"2017";250091380;"zł";"";
030210500000;"PODREGION MIASTO WROCŁAW";"wydatki na świadczenia wychowawcze";"2018";247578317;"zł";"";
030210500000;"PODREGION MIASTO WROCŁAW";"wydatki na świadczenia wychowawcze";"2019";428245987;"zł";"";
030210500000;"PODREGION MIASTO WROCŁAW";"wydatki na świadczenia wychowawcze";"2020";630177674;"zł";"";
030210500000;"PODREGION MIASTO WROCŁAW";"wydatki na świadczenia wychowawcze";"2021";642459897;"zł";"";
031613100000;"PODREGION NYSKI";"wydatki na świadczenia wychowawcze";"2017";193126993;"zł";"";
031613100000;"PODREGION NYSKI";"wydatki na świadczenia wychowawcze";"2018";183900814;"zł";"";
031613100000;"PODREGION NYSKI";"wydatki na świadczenia wychowawcze";"2019";250643940;"zł";"";
031613100000;"PODREGION NYSKI";"wydatki na świadczenia wychowawcze";"2020";325660214;"zł";"";
031613100000;"PODREGION NYSKI";"wydatki na świadczenia wychowawcze";"2021";325038809;"zł";"";
031613200000;"PODREGION OPOLSKI";"wydatki na świadczenia wychowawcze";"2017";284490636;"zł";"";
031613200000;"PODREGION OPOLSKI";"wydatki na świadczenia wychowawcze";"2018";275915802;"zł";"";
031613200000;"PODREGION OPOLSKI";"wydatki na świadczenia wychowawcze";"2019";400754645;"zł";"";
031613200000;"PODREGION OPOLSKI";"wydatki na świadczenia wychowawcze";"2020";538261115;"zł";"";
031613200000;"PODREGION OPOLSKI";"wydatki na świadczenia wychowawcze";"2021";544034352;"zł";"";
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";"wydatki na świadczenia wychowawcze";"2017";414448524;"zł";"";
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";"wydatki na świadczenia wychowawcze";"2018";399176164;"zł";"";
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";"wydatki na świadczenia wychowawcze";"2019";585235368;"zł";"";
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";"wydatki na świadczenia wychowawcze";"2020";785679802;"zł";"";
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";"wydatki na świadczenia wychowawcze";"2021";787728929;"zł";"";
040410700000;"PODREGION GRUDZIĄDZKI";"wydatki na świadczenia wychowawcze";"2017";273264183;"zł";"";
040410700000;"PODREGION GRUDZIĄDZKI";"wydatki na świadczenia wychowawcze";"2018";259304569;"zł";"";
040410700000;"PODREGION GRUDZIĄDZKI";"wydatki na świadczenia wychowawcze";"2019";329738579;"zł";"";
040410700000;"PODREGION GRUDZIĄDZKI";"wydatki na świadczenia wychowawcze";"2020";410286413;"zł";"";
040410700000;"PODREGION GRUDZIĄDZKI";"wydatki na świadczenia wychowawcze";"2021";407764011;"zł";"";
040410800000;"PODREGION WŁOCŁAWSKI";"wydatki na świadczenia wychowawcze";"2017";233946387;"zł";"";
040410800000;"PODREGION WŁOCŁAWSKI";"wydatki na świadczenia wychowawcze";"2018";220375150;"zł";"";
040410800000;"PODREGION WŁOCŁAWSKI";"wydatki na świadczenia wychowawcze";"2019";274498231;"zł";"";
040410800000;"PODREGION WŁOCŁAWSKI";"wydatki na świadczenia wychowawcze";"2020";340700429;"zł";"";
040410800000;"PODREGION WŁOCŁAWSKI";"wydatki na świadczenia wychowawcze";"2021";337726407;"zł";"";
040416700000;"PODREGION INOWROCŁAWSKI";"wydatki na świadczenia wychowawcze";"2017";235626677;"zł";"";
040416700000;"PODREGION INOWROCŁAWSKI";"wydatki na świadczenia wychowawcze";"2018";222769163;"zł";"";
